URL_IDENTIFICATION,URL_LENGTH,CHARACTER_SET,SPECIAL_CHARACTERS,SERVER,CONTENT_LENGTH,COUNTRY,STATE,REGISTRATION_DATE,UPDATED_DATE,TCP_PACKETS_EXCHANGE,PORTS_DETECTED,REMOTE_IP,BYTES_TRANSFERRED,REMOTE_APP_PACKETS,SOURCE_APP_PACKETS,REMOTE_APP_BYTES,SOURCE_APP_BYTES,IP_PACKETS,DNS_PACKETS,WEBSITE_TYPE
A0_71,21,ISO-8859-1,7,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,957,United Kingdom,NaN,16 July 2000,04 July 2015,7,0,1,717,10,11,1011,1960,11,4,1
A0_97,21,iso-8859-1,7,nginx,686,Russia,Novosibirskaya obl.,25 May 2013,23 May 2016,6,0,2,603,9,8,745,1580,8,2,1
M0_2303,21,us-ascii,6,Microsoft-HTTPAPI/2.0,324,NaN,NaN,09 August 1999,10 February 2015,7,7,3,618,9,7,618,562,7,0,0
M0_584,21,utf-8,6,nginx,15025,NaN,NaN,NaN,NaN,13,1,5,1099,17,15,1243,15476,15,2,0
M0_2122,22,iso-8859-1,6,nginx,318,America,Tennessee,02 November 2003,29 June 2015,8,6,6,696,10,8,696,636,8,0,0
M0_2176,22,iso-8859-1,6,Apache/2.2.22,224,NaN,NaN,12 August 2008,13 July 2016,4,3,2,420,6,4,420,372,4,0,0
A0_69,22,us-ascii,7,Microsoft-HTTPAPI/2.0,324,America,CO,15 September 2013,25 February 2017,9,0,4,850,9,11,994,1354,11,2,1
M0_161,22,utf-8,6,openresty/1.11.2.1,NaN,America,CA,03 July 1999,07 August 2015,39,29,6,3833,42,43,4125,22495,43,4,0
M0_569,22,utf-8,7,Apache/2.4.7 (Ubuntu),4421,Australia,Vi,21 May 2009,15 May 2016,12,0,2,2259,12,16,2559,5165,16,4,0
M0_601,22,UTF-8,6,nginx/1.12.0,NaN,America,FL,01 August 2002,22 March 2016,6,0,3,650,10,10,950,1417,10,4,0
M0_884,22,ISO-8859-1,6,Apache,441,America,OR,13 January 2005,02 March 2017,0,0,0,0,0,0,0,0,0,0,0
M0_905,22,ISO-8859-1,6,nginx/1.12.0,NaN,America,Texas,18 May 2005,19 May 2016,0,0,0,0,0,0,0,0,0,0,0
M0_916,22,utf-8,6,nginx,6671,Canada,ALBERTA,04 January 2001,03 March 2017,0,0,0,0,0,0,0,0,0,0,0
M0_102,23,utf-8,6,Apache,NaN,America,FL,28 February 2008,14 February 2017,16,3,11,1696,20,18,1844,13422,18,2,0
M0_1130,23,iso-8859-1,6,Apache/2.4.12 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,434,Panama,PANAMA,08 December 2006,14 December 2015,0,0,0,0,0,0,0,0,0,0,0
M0_241,23,UTF-8,6,NaN,NaN,GB,NaN,09 May 2008,27 November 2015,19,14,6,1980,25,23,2276,5737,23,4,0
M0_285,23,UTF-8,6,NaN,NaN,America,WI,23 April 1999,25 July 2016,4,0,1,519,8,8,823,1138,8,4,0
M0_869,20,ISO-8859-1,7,Apache/2.2.15 (Red Hat),13054,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
M0_465,23,UTF-8,6,cloudflare-nginx,NaN,America,Oregon,04 February 1997,08 November 2014,10,0,5,1186,15,14,1476,1900,14,4,0
M0_599,23,ISO-8859-1,6,nginx/1.12.0,NaN,India,Andhra Pradesh,13 February 2003,14 February 2017,43,4,4,5738,50,47,6046,56926,47,4,0
M0_614,23,iso-8859-1,6,Apache,240,America,CA,17 May 2008,18 May 2016,8,0,2,723,11,10,871,1837,10,2,0
M0_622,23,ISO-8859-1,6,Apache,3985,Canada,AB,30 May 2002,31 May 2016,40,17,16,3285,45,46,3729,12003,46,6,0
M0_790,23,us-ascii,6,Microsoft-HTTPAPI/2.0,324,NaN,NaN,20 October 2005,30 September 2016,0,0,0,0,0,0,0,0,0,0,0
A0_175,24,ISO-8859-1,8,nginx/1.6.2,6173,NaN,NaN,NaN,NaN,2,0,1,132,5,2,132,318,2,0,1
A0_89,24,iso-8859-1,9,Apache,319,India,Tamil Nadu,NaN,NaN,7,0,2,720,10,9,868,1269,9,2,1
M0_108,24,utf-8,6,openresty,NaN,Luxembourg,NaN,07 January 2006,14 December 2016,84,54,5,10490,106,96,11482,106925,96,12,0
M0_126,24,ISO-8859-1,6,NaN,34,America,VA,05 March 1996,27 May 2016,65,3,5,6286,75,69,6596,90508,69,4,0
M0_171,24,utf-8,7,nginx,NaN,America,NY,23 March 1995,03 March 2017,14,6,6,1907,18,18,2171,5601,18,4,0
M0_2301,24,utf-8,6,Heptu web server,1778,NaN,NaN,10 January 1998,11 November 2012,7,7,3,618,9,7,618,562,7,0,0
M0_2313,24,utf-8,6,Pepyaka/1.11.3,NaN,NaN,NaN,27 April 2016,29 April 2017,6,3,2,528,4,6,528,244,6,0,0
M0_2315,24,us-ascii,6,Microsoft-HTTPAPI/2.0,324,Canada,quebec,07 April 2011,08 April 2017,6,4,4,564,8,6,564,508,6,0,0
M0_282,24,iso-8859-1,8,Apache/2.2.22,224,America,MA,26 February 2009,06 January 2017,19,2,4,2131,23,23,2441,9471,23,4,0
M0_321,24,utf-8,6,nginx/1.8.0,NaN,Canada,ON,03 July 2002,02 July 2016,12,2,7,984,16,16,1292,1839,16,4,0
M0_326,24,iso-8859-1,7,Apache,318,NaN,NaN,NaN,NaN,21,1,8,1606,13,25,1914,1276,25,4,0
M0_483,24,utf-8,7,nginx/1.10.1 + Phusion Passenger 5.0.30,NaN,NaN,NaN,21 February 1995,19 February 2017,16,6,8,2279,22,22,2729,2562,22,6,0
M0_543,24,iso-8859-1,6,Apache/2,345,America,New Mexico,04 July 2007,05 July 2016,19,5,9,1390,25,21,1540,3890,21,2,0
M0_656,24,UTF-8,6,Apache,756,Panama,PANAMA,02 July 1998,06 February 2017,23,3,15,2485,28,27,2799,9332,27,4,0
M0_1163,25,utf-8,6,Apache/2.2.29 (Amazon),NaN,Canada,British Columbia,10 March 2005,04 January 2017,0,0,0,0,0,0,0,0,0,0,0
M0_1308,25,utf-8,7,nginx,NaN,America,NY,23 March 1995,03 March 2017,0,0,0,0,0,0,0,0,0,0,0
M0_1347,25,UTF-8,6,nginx,14839,America,NY,15 December 2004,13 November 2016,0,0,0,0,0,0,0,0,0,0,0
M0_2127,25,us-ascii,6,Microsoft-IIS/7.5,324,America,Massachusetts,25 February 2008,26 February 2017,5,2,4,474,4,5,474,250,5,0,0
M0_2224,25,UTF-8,6,LiteSpeed,NaN,NaN,NaN,27 January 2005,15 November 2013,6,5,2,564,7,6,564,442,6,0,0
M0_468,25,UTF-8,6,Apache,NaN,America,California,14 September 2006,09 September 2016,12,0,5,1327,17,16,1615,14050,16,4,0
M0_568,25,UTF-8,6,nginx,658,NaN,NaN,NaN,NaN,11,3,4,1232,16,15,1530,9806,15,4,0
M0_577,25,UTF-8,6,NaN,NaN,Thailand,bangkok,30 April 2010,12 March 2017,18,7,9,1586,17,22,1898,1735,22,4,0
M0_704,25,ISO-8859-1,6,Apache,NaN,America,CA,22 April 1997,22 February 2017,36,17,9,4737,35,42,5173,10343,42,6,0
M0_781,25,UTF-8,6,Apache,195,GB,WEST MIDLANDS,16 July 2016,22 December 2016,0,0,0,0,0,0,0,0,0,0,0
M0_786,25,us-ascii,6,Microsoft-HTTPAPI/2.0,324,America,CO,27 November 2016,01 February 2017,0,0,0,0,0,0,0,0,0,0,0
M0_886,25,ISO-8859-1,6,Apache,NaN,America,California,30 October 2009,27 October 2016,0,0,0,0,0,0,0,0,0,0,0
A0_111,26,UTF-8,8,nginx,NaN,NaN,NaN,12 March 2009,NaN,12,0,2,1052,14,14,1204,11935,14,2,1
A0_15,26,utf-8,8,nginx,NaN,NaN,NaN,09 March 2000,NaN,9,1,2,878,12,11,1018,2242,11,2,1
A0_171,26,ISO-8859-1,7,nginx/1.12.0,4166,America,TEXAS,30 May 2008,30 May 2016,24,0,3,2508,30,30,2992,21098,30,6,1
A0_68,26,ISO-8859-1,7,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,962,GB,WC1N,25 September 2000,18 July 2016,9,0,4,842,12,11,994,2101,11,2,1
A0_70,26,ISO-8859-1,7,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,962,GB,WC1N,09 April 2002,10 April 2017,7,0,2,722,10,11,1016,2000,11,4,1
A0_72,26,ISO-8859-1,7,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,962,GB,WC1N,09 April 2002,10 April 2017,7,0,2,722,9,11,1036,1913,11,4,1
M0_1125,26,utf-8,6,nginx,2688,America,Kentucky,11 January 1997,30 April 2015,0,0,0,0,0,0,0,0,0,0,0
M0_1205,26,UTF-8,7,cloudflare-nginx,NaN,America,MD,11 June 2000,03 March 2017,0,0,0,0,0,0,0,0,0,0,0
M0_1321,26,UTF-8,6,nginx,NaN,Canada,ON,13 February 2002,23 February 2017,0,0,0,0,0,0,0,0,0,0,0
